epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7453,1.93575,3.86205,1.61918,0.00358,0.16667,0.12331,0.08733,3.66104,4.30582,1.48775,1.818e-05,1.818e-05,1.818e-05
2,94.5261,1.63477,3.79819,1.42989,0.00391,0.16667,0.15045,0.1243,3.63936,4.30709,1.38366,4.5e-05,4.5e-05,4.5e-05
3,117.077,1.67599,3.66153,1.29058,0.00515,0.16667,0.15028,0.13339,3.74168,4.3349,1.29198,7.12801e-05,7.12801e-05,7.12801e-05
4,140.652,1.72554,3.49351,1.14959,0.0075,0.16667,0.14344,0.12603,3.6844,4.30708,1.203,9.70203e-05,9.70203e-05,9.70203e-05
5,164.323,1.95162,3.34783,1.12824,0.01071,0.16667,0.13206,0.11752,3.59685,4.30624,1.11742,0.000122221,0.000122221,0.000122221
6,190.433,2.22284,3.13729,1.10275,0.01316,0.16667,0.13374,0.11662,3.52933,4.30447,1.08825,0.000146881,0.000146881,0.000146881
7,217.977,2.43694,3.09705,1.10206,0.01579,0.16667,0.13888,0.11843,3.62629,4.30296,1.08803,0.000171001,0.000171001,0.000171001
8,239.759,2.7982,3.1683,1.0977,0.01648,0.16667,0.14551,0.1238,3.70928,4.28964,1.0895,0.000194581,0.000194581,0.000194581
9,262.302,2.96195,3.10921,1.06932,0.97622,0.11128,0.15483,0.12746,3.84041,4.25416,1.07458,0.000217622,0.000217622,0.000217622
10,524.653,2.80061,2.96242,1.07461,0.98018,0.13772,0.14831,0.11999,3.90586,4.23725,1.07556,0.000240122,0.000240122,0.000240122
11,574.153,3.0744,3.15294,1.0967,0.96312,0.13041,0.13891,0.1169,3.90573,4.19972,1.07212,0.000262083,0.000262083,0.000262083
12,615.195,3.00941,3.11034,1.09194,0.9646,0.13783,0.13119,0.10739,3.88286,4.17389,1.07624,0.000283503,0.000283503,0.000283503
13,660.453,3.30585,3.16895,1.0836,0.94182,0.12963,0.14786,0.12046,3.8733,4.09529,1.08946,0.000304384,0.000304384,0.000304384
14,702.913,3.04701,2.96559,1.03717,0.95088,0.1332,0.14881,0.11206,3.87779,4.04038,1.08557,0.000324725,0.000324725,0.000324725
15,750.83,3.03733,3.08568,1.06501,0.9292,0.09259,0.08396,0.07027,3.87865,3.94562,1.07543,0.000344526,0.000344526,0.000344526
16,802.157,3.02837,2.92299,1.04014,0.95016,0.08742,0.09614,0.07543,3.81554,3.9127,1.07375,0.000363786,0.000363786,0.000363786
17,851.655,3.1772,3.00932,1.04022,0.96392,0.09259,0.13727,0.11251,3.69719,3.85326,1.0766,0.000382507,0.000382507,0.000382507
18,897.667,3.03994,2.99052,1.05934,0.98079,0.14264,0.15554,0.1275,3.68431,3.82416,1.07837,0.000400688,0.000400688,0.000400688
19,943.085,3.07247,2.89567,1.03574,0.96852,0.15947,0.15757,0.13131,3.71617,3.78914,1.08668,0.000418329,0.000418329,0.000418329
20,982.486,3.10106,2.92908,1.03002,0.81055,0.14815,0.15634,0.13332,3.71501,3.76396,1.08836,0.00043543,0.00043543,0.00043543
21,1038.26,2.96314,2.79541,1.01787,0.46527,0.14815,0.14546,0.1245,3.71317,3.759,1.08439,0.000451991,0.000451991,0.000451991
22,1083,2.9611,2.90742,1.03361,0.4166,0.16667,0.15156,0.12847,3.87943,3.79437,1.10922,0.000468012,0.000468012,0.000468012
23,1122.41,2.9412,2.78359,1.01187,0.41779,0.16667,0.15158,0.12315,3.88159,3.81144,1.11265,0.000483493,0.000483493,0.000483493
24,1166.21,2.92633,2.81758,1.00626,0.44652,0.16667,0.15045,0.11351,3.75363,3.67822,1.0972,0.000498435,0.000498435,0.000498435
25,1199.97,2.78394,2.77689,1.00312,0.63392,0.16667,0.15029,0.12093,3.71011,3.56876,1.09011,0.000512836,0.000512836,0.000512836
26,1232.9,2.71577,2.73126,1.00704,0.80196,0.16667,0.15016,0.12048,3.67797,3.55358,1.08113,0.000526697,0.000526697,0.000526697
27,1267.03,2.88544,2.69398,1.01029,0.81557,0.16667,0.16072,0.12813,3.57987,3.56222,1.06883,0.000540019,0.000540019,0.000540019
28,1305.84,2.76439,2.6892,0.99821,0.81522,0.16667,0.15709,0.13283,3.53843,3.57059,1.0632,0.0005528,0.0005528,0.0005528
29,1341.52,2.90539,2.64932,0.98808,0.81522,0.16667,0.15709,0.13283,3.53843,3.57059,1.0632,0.000565042,0.000565042,0.000565042
30,1377.88,2.86755,2.64404,0.98372,0.81475,0.16667,0.15632,0.13542,3.51329,3.57864,1.06036,0.000576743,0.000576743,0.000576743
31,1410.39,2.76952,2.74761,1.01995,0.98222,0.16667,0.15668,0.1382,3.56135,3.59011,1.06437,0.000587905,0.000587905,0.000587905
32,1445.94,2.83127,2.61377,0.9751,0.98262,0.16667,0.16244,0.1394,3.52875,3.55629,1.06167,0.000598527,0.000598527,0.000598527
33,1477.59,2.76659,2.61628,0.99593,0.98262,0.16667,0.16244,0.1394,3.52875,3.55629,1.06167,0.000608608,0.000608608,0.000608608
34,1509.6,2.68316,2.56175,0.9886,0.98261,0.16667,0.1636,0.14411,3.63481,3.54945,1.07548,0.00061203,0.00061203,0.00061203
35,1550.02,2.75896,2.5315,0.98467,0.98263,0.16667,0.16232,0.14253,3.72623,3.52269,1.08429,0.000603031,0.000603031,0.000603031
36,1582.75,2.72927,2.52602,0.98091,0.98262,0.16667,0.16651,0.14227,3.58359,3.45532,1.06053,0.000594031,0.000594031,0.000594031
37,1615,2.63799,2.58899,0.99859,0.98262,0.16667,0.16651,0.14227,3.58359,3.45532,1.06053,0.000585032,0.000585032,0.000585032
38,1648.85,2.58195,2.44002,0.97314,0.65621,0.17091,0.16804,0.14529,3.55013,3.38222,1.05708,0.000576033,0.000576033,0.000576033
39,1679.83,2.56765,2.44975,0.98557,0.98232,0.16667,0.16521,0.14087,3.55889,3.31102,1.06112,0.000567034,0.000567034,0.000567034
40,1711.61,2.68998,2.56182,0.99245,0.98252,0.16667,0.17622,0.15085,3.50551,3.21548,1.06081,0.000558035,0.000558035,0.000558035
41,1743.14,2.61294,2.40166,0.96025,0.98252,0.16667,0.17622,0.15085,3.50551,3.21548,1.06081,0.000549036,0.000549036,0.000549036
42,1776.04,2.56069,2.37501,0.965,0.98258,0.16667,0.17244,0.1457,3.43194,3.12914,1.04759,0.000540037,0.000540037,0.000540037
43,1807.09,2.59262,2.41458,0.95999,0.15069,0.20276,0.17259,0.14972,3.33591,3.07816,1.0325,0.000531038,0.000531038,0.000531038
44,1839.79,2.55756,2.4022,0.99112,0.16204,0.20309,0.17363,0.1516,3.2869,3.0431,1.02667,0.000522039,0.000522039,0.000522039
45,1879.29,2.53518,2.38121,0.9635,0.16204,0.20309,0.17363,0.1516,3.2869,3.0431,1.02667,0.00051304,0.00051304,0.00051304
46,1911.08,2.41142,2.36867,0.9594,0.16112,0.20071,0.17305,0.15018,3.35534,3.03287,1.03418,0.00050404,0.00050404,0.00050404
47,1949.28,2.72414,2.38686,0.96308,0.1604,0.19996,0.17443,0.15016,3.37115,3.03924,1.03984,0.000495041,0.000495041,0.000495041
48,1984.77,2.61237,2.31037,0.94063,0.16178,0.20296,0.17531,0.15054,3.31788,2.96749,1.0368,0.000486042,0.000486042,0.000486042
49,2020.28,2.52587,2.424,0.95945,0.16178,0.20296,0.17531,0.15054,3.31788,2.96749,1.0368,0.000477043,0.000477043,0.000477043
50,2050.78,2.57144,2.29324,0.96879,0.16577,0.20752,0.17918,0.15274,3.19195,2.92211,1.02209,0.000468044,0.000468044,0.000468044
51,2085.68,2.44819,2.29766,0.97359,0.16367,0.2005,0.17419,0.14647,3.22943,2.88737,1.01942,0.000459045,0.000459045,0.000459045
52,2119.37,2.42241,2.33033,0.96484,0.15329,0.20107,0.17284,0.14887,3.36153,2.91192,1.02564,0.000450046,0.000450046,0.000450046
53,2154.16,2.51738,2.25893,0.96666,0.15329,0.20107,0.17284,0.14887,3.36153,2.91192,1.02564,0.000441047,0.000441047,0.000441047
54,2207.96,2.47507,2.24156,0.9487,0.1562,0.20155,0.17594,0.15028,3.35662,2.92427,1.02416,0.000432048,0.000432048,0.000432048
55,2243.26,2.51611,2.23342,0.93562,0.17135,0.20839,0.17919,0.14849,3.22107,2.85848,1.0142,0.000423049,0.000423049,0.000423049
56,2275.64,2.38817,2.27144,0.96112,0.17781,0.21863,0.18491,0.15808,3.11225,2.83132,1.00785,0.000414049,0.000414049,0.000414049
57,2311.17,2.46213,2.35955,0.96432,0.17781,0.21863,0.18491,0.15808,3.11225,2.83132,1.00785,0.00040505,0.00040505,0.00040505
58,2349.96,2.40473,2.18796,0.94758,0.17989,0.22031,0.18557,0.15664,3.08852,2.81424,1.00766,0.000396051,0.000396051,0.000396051
59,2392.26,2.48122,2.21625,0.93922,0.16745,0.21562,0.18469,0.1562,3.10062,2.84046,1.01064,0.000387052,0.000387052,0.000387052
60,2428.38,2.40692,2.2241,0.9435,0.15644,0.21478,0.18395,0.15495,3.11511,2.90326,1.01337,0.000378053,0.000378053,0.000378053
61,2466.96,2.40863,2.33943,0.94949,0.15644,0.21478,0.18395,0.15495,3.11511,2.90326,1.01337,0.000369054,0.000369054,0.000369054
62,2505.72,2.40196,2.23486,0.9428,0.15184,0.2151,0.18487,0.15904,3.13234,2.95155,1.01521,0.000360055,0.000360055,0.000360055
63,2542.33,2.29347,2.22063,0.95149,0.14003,0.21327,0.18283,0.15462,3.0995,2.94122,1.01214,0.000351056,0.000351056,0.000351056
64,2573.69,2.27475,2.16322,0.9552,0.18201,0.20423,0.18276,0.1544,3.06051,2.95904,1.00909,0.000342057,0.000342057,0.000342057
65,2619.7,2.28557,2.26992,0.96136,0.18201,0.20423,0.18276,0.1544,3.06051,2.95904,1.00909,0.000333058,0.000333058,0.000333058
66,2655.78,2.27281,2.07251,0.95006,0.14499,0.21009,0.18166,0.15417,3.03712,3.00412,1.00727,0.000324058,0.000324058,0.000324058
67,2690.65,2.3752,2.12046,0.93804,0.14917,0.2142,0.18222,0.15636,3.02951,3.02436,1.00576,0.000315059,0.000315059,0.000315059
68,2722.12,2.31787,2.13231,0.94484,0.15664,0.22235,0.18472,0.15644,3.05138,3.06436,1.0084,0.00030606,0.00030606,0.00030606
69,2754.19,2.36946,2.05617,0.93305,0.15664,0.22235,0.18472,0.15644,3.05138,3.06436,1.0084,0.000297061,0.000297061,0.000297061
70,2791.16,2.42534,2.1253,0.93363,0.14255,0.2242,0.18741,0.15816,3.07668,3.10366,1.01214,0.000288062,0.000288062,0.000288062
71,2821.71,2.22432,2.11899,0.93835,0.14293,0.22512,0.18768,0.15863,3.07132,3.09538,1.01443,0.000279063,0.000279063,0.000279063
72,2855.94,2.28094,2.14129,0.9243,0.15007,0.22438,0.19019,0.16123,3.06291,3.07757,1.01668,0.000270064,0.000270064,0.000270064
73,2896.53,2.22326,2.05507,0.9382,0.15007,0.22438,0.19019,0.16123,3.06291,3.07757,1.01668,0.000261065,0.000261065,0.000261065
74,2927.51,2.23686,2.08155,0.92899,0.16035,0.22593,0.19031,0.15836,3.05276,3.02316,1.01664,0.000252066,0.000252066,0.000252066
75,2963.86,2.26048,2.09782,0.93805,0.16137,0.2254,0.19066,0.1586,3.04406,3.00339,1.01641,0.000243067,0.000243067,0.000243067
76,2997.04,2.37162,2.15609,0.92445,0.16204,0.2246,0.18872,0.15672,3.01208,2.96731,1.01265,0.000234068,0.000234068,0.000234068
77,3028.75,2.19537,2.17828,0.9387,0.16204,0.2246,0.18872,0.15672,3.01208,2.96731,1.01265,0.000225068,0.000225068,0.000225068
78,3061.39,2.19132,2.00594,0.90566,0.17139,0.22376,0.18654,0.15711,2.9822,2.94992,1.00889,0.000216069,0.000216069,0.000216069
79,3091.53,2.38265,2.13384,0.93002,0.16826,0.22235,0.18464,0.15593,2.96537,2.93444,1.00515,0.00020707,0.00020707,0.00020707
80,3123.32,2.26908,2.01292,0.9214,0.16879,0.22484,0.18718,0.15645,2.95211,2.92256,1.00223,0.000198071,0.000198071,0.000198071
81,3156.98,2.35288,2.05713,0.9196,0.16879,0.22484,0.18718,0.15645,2.95211,2.92256,1.00223,0.000189072,0.000189072,0.000189072
82,3192.88,2.43139,2.03024,0.92872,0.16708,0.22491,0.18448,0.15489,2.9417,2.91465,1.00044,0.000180073,0.000180073,0.000180073
83,3230.63,2.25924,2.06306,0.94134,0.1685,0.22732,0.18536,0.15619,2.93012,2.90497,0.99888,0.000171074,0.000171074,0.000171074
84,3262.12,2.21911,2.17206,0.93955,0.16771,0.22571,0.18702,0.15943,2.92849,2.927,0.99912,0.000162075,0.000162075,0.000162075
85,3298.47,2.20144,2.05661,0.93615,0.16771,0.22571,0.18702,0.15943,2.92849,2.927,0.99912,0.000153076,0.000153076,0.000153076
86,3331.17,2.16698,2.09315,0.91902,0.16601,0.22355,0.18564,0.16147,2.92072,2.93294,0.99825,0.000144077,0.000144077,0.000144077
87,3364.41,2.27902,2.01817,0.92744,0.16644,0.22399,0.18395,0.15979,2.91561,2.92656,0.99783,0.000135077,0.000135077,0.000135077
88,3396.52,2.19943,2.03044,0.92753,0.16477,0.22311,0.18286,0.15923,2.91374,2.9194,0.99747,0.000126078,0.000126078,0.000126078
89,3429.39,2.28882,2.00546,0.92285,0.16477,0.22311,0.18286,0.15923,2.91374,2.9194,0.99747,0.000117079,0.000117079,0.000117079
90,3468.36,2.084,2.07772,0.94531,0.18869,0.22305,0.18225,0.158,2.91523,2.91252,0.99778,0.00010808,0.00010808,0.00010808
91,3498.58,2.4858,2.5548,0.94063,0.18819,0.22313,0.18184,0.15809,2.91463,2.89679,0.99757,9.9081e-05,9.9081e-05,9.9081e-05
92,3530.6,2.56606,2.95299,0.92527,0.18838,0.2224,0.18178,0.15798,2.90938,2.86764,0.99647,9.00819e-05,9.00819e-05,9.00819e-05
93,3559.29,2.40622,2.527,0.93282,0.18838,0.2224,0.18178,0.15798,2.90938,2.86764,0.99647,8.10828e-05,8.10828e-05,8.10828e-05
94,3586.8,2.27257,2.40907,0.94023,0.18863,0.22191,0.18187,0.15803,2.90689,2.83461,0.99533,7.20837e-05,7.20837e-05,7.20837e-05
95,3615.29,2.33297,2.58731,0.92064,0.18841,0.22178,0.18185,0.15857,2.90831,2.81608,0.99482,6.30846e-05,6.30846e-05,6.30846e-05
96,3642.67,2.48528,2.57497,0.93804,0.18684,0.21941,0.18084,0.15793,2.90971,2.8015,0.99454,5.40855e-05,5.40855e-05,5.40855e-05
97,3672.24,2.30805,2.59908,0.94621,0.18684,0.21941,0.18084,0.15793,2.90971,2.8015,0.99454,4.50864e-05,4.50864e-05,4.50864e-05
98,3699.86,2.22446,2.63982,0.91663,0.18695,0.21954,0.18045,0.15681,2.91468,2.79497,0.99456,3.60873e-05,3.60873e-05,3.60873e-05
99,3727.52,2.38137,2.45534,0.92751,0.18724,0.2188,0.18062,0.15676,2.91722,2.78267,0.99441,2.70882e-05,2.70882e-05,2.70882e-05
100,3756.43,2.3525,2.65757,0.92426,0.18783,0.21899,0.17924,0.15529,2.91864,2.77269,0.99406,1.80891e-05,1.80891e-05,1.80891e-05
