epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7876,1.93575,3.86205,1.61918,0.00075,0.16667,0.04903,0.03101,1.81548,23.3549,0.72114,1.818e-05,1.818e-05,1.818e-05
2,108.532,1.73867,3.79951,1.44632,0.00076,0.16667,0.12482,0.09797,1.82733,23.3429,0.68129,4.5e-05,4.5e-05,4.5e-05
3,144.596,1.42945,3.59575,1.25043,0.00096,0.16667,0.14613,0.12466,1.8711,23.3179,0.64072,7.12801e-05,7.12801e-05,7.12801e-05
4,183.278,1.83445,3.58822,1.21159,0.00137,0.16667,0.13534,0.12094,1.91288,23.295,0.59546,9.70203e-05,9.70203e-05,9.70203e-05
5,218.194,1.89522,3.35338,1.14021,0.00174,0.16667,0.11146,0.09453,1.89705,23.2758,0.56305,0.000122221,0.000122221,0.000122221
6,253.252,2.4254,3.30132,1.16023,0.00158,0.16667,0.12558,0.10532,1.87041,23.2551,0.54911,0.000146881,0.000146881,0.000146881
7,2229.87,2.7506,3.30571,1.13518,0.00173,0.16667,0.13048,0.11147,1.89738,23.2319,0.54482,0.000171001,0.000171001,0.000171001
8,2274.01,2.49826,3.04171,1.0831,0.00189,0.16667,0.12705,0.10836,1.92417,23.2104,0.54263,0.000194581,0.000194581,0.000194581
9,2310.79,2.78585,3.07862,1.08461,0.966,0.07259,0.12452,0.10671,1.97044,23.0704,0.53964,0.000217622,0.000217622,0.000217622
10,2351.65,3.06188,3.24467,1.08219,0.96268,0.07407,0.10784,0.08851,1.99737,23.0179,0.54395,0.000240122,0.000240122,0.000240122
11,2387.56,3.09683,3.30243,1.13594,0.88445,0.09259,0.07521,0.06078,1.99369,22.8639,0.55303,0.000262083,0.000262083,0.000262083
12,2429.14,3.09288,3.15087,1.08806,0.90022,0.07407,0.05593,0.04442,2.03163,22.7199,0.5647,0.000283503,0.000283503,0.000283503
13,2467.02,3.23132,3.17662,1.08278,0.86345,0.03704,0.03682,0.0292,2.08925,22.1569,0.58335,0.000304384,0.000304384,0.000304384
14,2505,3.00688,3.07956,1.06391,0.88471,0.11111,0.05727,0.04624,2.06327,21.9638,0.57669,0.000324725,0.000324725,0.000324725
15,3492.78,3.04886,3.06235,1.07096,0.84968,0.11111,0.01639,0.00978,2.11241,22.2949,0.58238,0.000344526,0.000344526,0.000344526
16,3558.8,3.10771,2.97481,1.03996,0.85048,0.12963,0.01724,0.01165,2.14156,23.062,0.58885,0.000363786,0.000363786,0.000363786
17,3606.54,3.03513,3.06902,1.04991,0.84638,0.05556,0.01548,0.01236,2.07542,25.9586,0.57526,0.000382507,0.000382507,0.000382507
18,3650.28,2.85833,2.87139,1.04091,0.85716,0.05556,0.02579,0.0219,2.04676,28.2142,0.56622,0.000400688,0.000400688,0.000400688
19,3692.02,2.97452,2.94729,1.01496,0.87749,0.07407,0.04188,0.03526,2.02758,31.495,0.56239,0.000418329,0.000418329,0.000418329
20,3732.35,2.92694,2.93962,1.03507,0.8934,0.09259,0.10864,0.09232,2.03957,37.7281,0.56692,0.00043543,0.00043543,0.00043543
21,3776.67,3.02787,2.88167,1.00593,0.9004,0.16667,0.14094,0.11623,1.97069,44.2297,0.56113,0.000451991,0.000451991,0.000451991
22,3821.69,2.9876,2.8521,1.02274,0.89633,0.16667,0.16335,0.14293,1.82156,45.596,0.54085,0.000468012,0.000468012,0.000468012
23,3864.37,2.96641,2.90968,1.00958,0.8974,0.16667,0.16087,0.14303,1.73921,44.8355,0.53286,0.000483493,0.000483493,0.000483493
24,3904.72,2.92682,2.88689,1.01576,0.88928,0.16667,0.15398,0.13232,1.73757,46.6444,0.53289,0.000498435,0.000498435,0.000498435
25,3945.25,2.83899,2.72002,0.99754,0.88387,0.16667,0.1346,0.11514,1.70588,50.2216,0.52831,0.000512836,0.000512836,0.000512836
26,3985.3,2.96546,2.85809,1.03376,0.8801,0.16667,0.11811,0.10203,1.69552,54.1491,0.52388,0.000526697,0.000526697,0.000526697
27,4026.54,2.8865,2.67094,0.99779,0.88038,0.16667,0.09295,0.08323,1.73456,54.0494,0.52673,0.000540019,0.000540019,0.000540019
28,4064.32,2.84605,2.71368,0.98853,0.88501,0.16667,0.09381,0.08318,1.7536,51.7099,0.52966,0.0005528,0.0005528,0.0005528
29,4106.08,2.89163,2.62735,0.98381,0.88501,0.16667,0.09381,0.08318,1.7536,51.7099,0.52966,0.000565042,0.000565042,0.000565042
30,4148.78,2.7764,2.6605,1.00299,0.89115,0.16667,0.11754,0.10247,1.75665,47.7745,0.53072,0.000576743,0.000576743,0.000576743
31,4189.47,2.749,2.55662,0.99285,0.88912,0.16667,0.14203,0.12286,1.76651,47.859,0.53085,0.000587905,0.000587905,0.000587905
32,4228.2,2.86106,2.65717,0.99113,0.88884,0.16667,0.15618,0.13219,1.74506,45.5339,0.52602,0.000598527,0.000598527,0.000598527
33,4265.66,2.71794,2.51061,0.97475,0.88884,0.16667,0.15618,0.13219,1.74506,45.5339,0.52602,0.000608608,0.000608608,0.000608608
34,4302.24,2.56475,2.45732,0.95663,0.89261,0.16667,0.15374,0.13417,1.72201,45.5928,0.52072,0.00061203,0.00061203,0.00061203
35,4341.33,2.70349,2.58717,0.98917,0.89886,0.16667,0.10021,0.08729,1.72284,45.2081,0.51831,0.000603031,0.000603031,0.000603031
36,4381.35,2.68766,2.51869,0.98986,0.87104,0.12963,0.04729,0.03967,1.73901,44.5834,0.51814,0.000594031,0.000594031,0.000594031
37,4422.49,2.72469,2.59028,0.99009,0.87104,0.12963,0.04729,0.03967,1.73901,44.5834,0.51814,0.000585032,0.000585032,0.000585032
38,4463.92,2.60818,2.50273,1.00799,0.867,0.11733,0.03885,0.03188,1.73361,41.2271,0.5182,0.000576033,0.000576033,0.000576033
39,4503.58,2.59507,2.51958,0.98096,0.91328,0.14815,0.1073,0.09687,1.70607,34.3413,0.51853,0.000567034,0.000567034,0.000567034
40,4544.17,2.73494,2.38789,0.96534,0.93727,0.16667,0.15129,0.13467,1.68091,27.5456,0.51708,0.000558035,0.000558035,0.000558035
41,4583.85,2.63484,2.43672,0.96851,0.93727,0.16667,0.15129,0.13467,1.68091,27.5456,0.51708,0.000549036,0.000549036,0.000549036
42,4625.25,2.71166,2.3959,0.96305,0.94231,0.16667,0.16389,0.14155,1.6813,22.6604,0.51631,0.000540037,0.000540037,0.000540037
43,4662.79,2.5187,2.43777,0.98242,0.94454,0.16667,0.16772,0.14183,1.68183,21.3116,0.51558,0.000531038,0.000531038,0.000531038
44,4704.47,2.58943,2.38968,0.96522,0.9417,0.16667,0.15236,0.12743,1.68706,20.7034,0.51598,0.000522039,0.000522039,0.000522039
45,4745.69,2.5434,2.4386,0.97111,0.9417,0.16667,0.15236,0.12743,1.68706,20.7034,0.51598,0.00051304,0.00051304,0.00051304
46,4785.95,2.55391,2.33329,0.97515,0.93359,0.14815,0.13734,0.11507,1.72486,21.1286,0.51932,0.00050404,0.00050404,0.00050404
47,4824.34,2.4652,2.3677,0.95376,0.91428,0.14815,0.13256,0.11162,1.78721,19.9176,0.52625,0.000495041,0.000495041,0.000495041
48,4862.48,2.69526,2.44218,0.96841,0.90893,0.15393,0.13581,0.11745,1.7783,18.6075,0.52392,0.000486042,0.000486042,0.000486042
49,4900.3,2.61773,2.38645,0.97914,0.90893,0.15393,0.13581,0.11745,1.7783,18.6075,0.52392,0.000477043,0.000477043,0.000477043
50,4940.97,2.7885,2.324,0.95159,0.93056,0.16667,0.14163,0.12237,1.71373,17.5979,0.51462,0.000468044,0.000468044,0.000468044
51,4983.12,2.42806,2.25715,0.95401,0.94861,0.16667,0.14777,0.12702,1.65319,16.6726,0.50693,0.000459045,0.000459045,0.000459045
52,5034.25,2.61286,2.30376,0.95864,0.95486,0.14968,0.15594,0.13568,1.63142,15.8814,0.50473,0.000450046,0.000450046,0.000450046
53,5081.52,2.53363,2.31794,0.94621,0.95486,0.14968,0.15594,0.13568,1.63142,15.8814,0.50473,0.000441047,0.000441047,0.000441047
54,5125.66,2.46743,2.2913,0.94692,0.97063,0.14815,0.1608,0.13905,1.63646,15.7185,0.5048,0.000432048,0.000432048,0.000432048
55,5162.25,2.44444,2.27929,0.97365,0.98096,0.14399,0.1649,0.14426,1.63,15.6281,0.50514,0.000423049,0.000423049,0.000423049
56,5200.71,2.4606,2.24284,0.97482,0.98096,0.14401,0.16455,0.14326,1.61315,16.0855,0.50482,0.000414049,0.000414049,0.000414049
57,5242.93,2.64285,2.23345,0.94684,0.98096,0.14401,0.16455,0.14326,1.61315,16.0855,0.50482,0.00040505,0.00040505,0.00040505
58,5284.78,2.66692,2.21557,0.93936,0.97602,0.14815,0.16617,0.1453,1.609,16.7376,0.5053,0.000396051,0.000396051,0.000396051
59,5323.76,2.4975,2.36371,0.95544,0.9705,0.14815,0.16653,0.14343,1.62206,16.7382,0.50699,0.000387052,0.000387052,0.000387052
60,5366.89,2.39966,2.20967,0.9593,0.98255,0.16667,0.16799,0.1469,1.63488,16.7243,0.50927,0.000378053,0.000378053,0.000378053
61,5407.52,2.39194,2.24158,0.94959,0.98255,0.16667,0.16799,0.1469,1.63488,16.7243,0.50927,0.000369054,0.000369054,0.000369054
62,5443.41,2.45786,2.24896,0.95067,0.98024,0.16667,0.1688,0.14762,1.64005,16.4647,0.51072,0.000360055,0.000360055,0.000360055
63,5482.58,2.414,2.2765,0.93704,0.97564,0.14815,0.16905,0.1475,1.63067,16.4666,0.50964,0.000351056,0.000351056,0.000351056
64,5518.02,2.40197,2.18841,0.9601,0.97686,0.14815,0.16714,0.1482,1.60825,16.9022,0.50709,0.000342057,0.000342057,0.000342057
65,5554.26,2.31544,2.1539,0.93972,0.97686,0.14815,0.16714,0.1482,1.60825,16.9022,0.50709,0.000333058,0.000333058,0.000333058
66,5592.22,2.36004,2.21728,0.93728,0.9764,0.14815,0.16836,0.15196,1.59079,16.9431,0.50563,0.000324058,0.000324058,0.000324058
67,5631.48,2.32308,2.26201,0.94959,0.98298,0.16318,0.16817,0.14355,1.58234,16.9325,0.50501,0.000315059,0.000315059,0.000315059
68,5667.94,2.21316,2.21694,0.95112,0.97851,0.16667,0.16851,0.14464,1.57226,16.9698,0.50412,0.00030606,0.00030606,0.00030606
69,5706.96,2.19148,2.13046,0.93262,0.97851,0.16667,0.16851,0.14464,1.57226,16.9698,0.50412,0.000297061,0.000297061,0.000297061
70,5745.32,2.34038,2.1232,0.92848,0.97622,0.16667,0.16743,0.14332,1.56767,16.9978,0.50351,0.000288062,0.000288062,0.000288062
71,5781.88,2.32032,2.23803,0.94442,0.97878,0.16667,0.16469,0.14091,1.58177,18.0306,0.50449,0.000279063,0.000279063,0.000279063
72,5817.26,2.17529,2.16673,0.94114,0.95441,0.14815,0.15736,0.13395,1.62614,18.7857,0.50814,0.000270064,0.000270064,0.000270064
73,5855.08,2.21298,2.13919,0.92335,0.95441,0.14815,0.15736,0.13395,1.62614,18.7857,0.50814,0.000261065,0.000261065,0.000261065
74,5895.21,2.34483,2.10548,0.94846,0.93721,0.16667,0.14539,0.12405,1.66498,19.1209,0.51193,0.000252066,0.000252066,0.000252066
75,5934.05,2.30988,2.07648,0.9388,0.93762,0.16667,0.14515,0.12251,1.68382,18.9552,0.51443,0.000243067,0.000243067,0.000243067
76,5974.44,2.40721,2.13305,0.92191,0.94868,0.16667,0.14843,0.12655,1.65213,19.0445,0.51175,0.000234068,0.000234068,0.000234068
77,6013.78,2.15532,2.14039,0.93613,0.94868,0.16667,0.14843,0.12655,1.65213,19.0445,0.51175,0.000225068,0.000225068,0.000225068
78,6051.96,2.31192,2.08052,0.92644,0.94641,0.16667,0.1579,0.13445,1.61138,18.8123,0.50834,0.000216069,0.000216069,0.000216069
79,6090.95,2.32333,2.06487,0.9232,0.96508,0.14815,0.15941,0.13572,1.57514,18.8987,0.50534,0.00020707,0.00020707,0.00020707
80,6129.3,2.35108,2.07245,0.91208,0.98295,0.16286,0.16361,0.13847,1.54547,18.922,0.50327,0.000198071,0.000198071,0.000198071
81,6166.93,2.35853,2.03813,0.91772,0.98295,0.16286,0.16361,0.13847,1.54547,18.922,0.50327,0.000189072,0.000189072,0.000189072
82,6203.17,2.15396,2.10994,0.94409,0.98185,0.16667,0.16479,0.13899,1.52474,19.2859,0.50205,0.000180073,0.000180073,0.000180073
83,6240.14,2.1615,2.07818,0.94261,0.97483,0.16667,0.16379,0.13848,1.51853,19.5236,0.50185,0.000171074,0.000171074,0.000171074
84,6277.72,2.11926,2.10864,0.95438,0.96412,0.16667,0.16022,0.1356,1.51821,19.9154,0.50254,0.000162075,0.000162075,0.000162075
85,6324.53,2.20651,2.08929,0.92605,0.96412,0.16667,0.16022,0.1356,1.51821,19.9154,0.50254,0.000153076,0.000153076,0.000153076
86,6364.51,2.23348,2.10901,0.91551,0.95743,0.16667,0.16391,0.13949,1.51611,20.0693,0.50276,0.000144077,0.000144077,0.000144077
87,6401.08,2.1874,2.07854,0.93034,0.95448,0.16667,0.16186,0.13799,1.51389,20.3422,0.50317,0.000135077,0.000135077,0.000135077
88,6436.94,2.08102,2.05479,0.93722,0.94863,0.16667,0.16014,0.13624,1.51626,20.3688,0.50381,0.000126078,0.000126078,0.000126078
89,6493.21,2.36268,2.04993,0.93649,0.94863,0.16667,0.16014,0.13624,1.51626,20.3688,0.50381,0.000117079,0.000117079,0.000117079
